name,index_in_978,importance,is_known_marker,rank
S100A9,77,0.0007611579494550824,False,410
COX6A1,506,0.0007605760474689305,False,411
IGHV5-51,852,0.0007603769190609455,False,412
SAA1,243,0.000758170208428055,False,413
MMP7,250,0.0007572929607704282,False,414
SERPIND1,488,0.000754534499719739,False,415
IGKV1D-39,107,0.0007541533559560776,False,416
TIMP3,269,0.0007539908983744681,False,417
PTPRCAP,669,0.0007498106569983065,False,418
SHMT2,801,0.0007497759070247412,False,419
HMOX1,806,0.0007492009317502379,False,420
TUBB4B,321,0.0007491687429137528,False,421
SAA2-SAA4,617,0.0007487476104870439,False,422
HSPA9,680,0.0007458171457983553,False,423
PEBP1,672,0.0007407521479763091,False,424
HMGN2,336,0.0007398013258352876,False,425
ANP32B,730,0.000738315808121115,False,426
MMP2,654,0.0007382110343314707,False,427
IGLV3-21,216,0.0007369737140834332,False,428
TACSTD2,267,0.0007347423234023154,False,429
OLFM4,291,0.0007334435940720141,False,430
GRB7,828,0.0007327234488911927,False,431
FAM3C2,555,0.0007326311315409839,False,432
IGKV1-27,547,0.0007325353799387813,False,433
IGHJ6,159,0.0007318969583138824,False,434
IGFBP3,128,0.0007313180831260979,False,435
RPS15,312,0.0007293859962373972,False,436
PSMB4,245,0.0007272637449204922,False,437
GPC3,700,0.0007267599576152861,False,438
TRBV9,542,0.0007261487771756947,False,439
TAGLN2,322,0.0007261038408614695,False,440
IGLC7,303,0.0007226293673738837,False,441
TKT,578,0.0007220572442747653,False,442
HINT1,818,0.0007212205673567951,False,443
CHI3L1,529,0.0007207029848359525,False,444
MDK,536,0.0007193463388830423,False,445
TPT1,67,0.0007190628093667328,False,446
IER3,356,0.000719041156116873,False,447
TRIT1,614,0.0007186674047261477,False,448
KB-1043D8.6,894,0.0007184822461567819,False,449
RPL13A,50,0.0007167427684180439,False,450
RPL23A,522,0.0007146517746150494,False,451
SPRR1B,909,0.0007143729599192739,False,452
CPE,398,0.0007137146312743425,False,453
RN7SL4P,428,0.0007135378546081483,False,454
RPS13,143,0.000711676839273423,False,455
NNAT,397,0.0007107021519914269,False,456
SLC38A2,893,0.0007094185566529632,False,457
ANXA1,290,0.0007092615123838186,False,458
ATP5B,241,0.0007060581701807678,False,459
RPS7P1,667,0.0007055651512928307,False,460
B2M,109,0.0007022566278465092,False,461
CLDN7,901,0.0007020935299806297,False,462
SCGB2A2,82,0.0007011965499259531,False,463
RPS17L,860,0.0006992926937527955,False,464
RPL13AP25,842,0.0006990447291173041,False,465
PSMC5,663,0.0006982195773161948,False,466
RPL21P119,580,0.0006977100274525583,False,467
PTTG1IP,814,0.0006960976170375943,False,468
IGKV1-33,610,0.0006953277625143528,False,469
RPL36,839,0.0006945646018721163,False,470
DEFB1,593,0.0006944180349819362,False,471
ATP5A1,458,0.0006940344464965165,False,472
MIEN1,293,0.000693814130499959,False,473
BSG,473,0.0006938134902156889,False,474
TUBA1A,158,0.0006929373485036194,False,475
PLOD1,967,0.0006879239226691425,False,476
DSTN,820,0.0006873966194689274,False,477
IGHV3-33,885,0.0006856615655124187,False,478
ARHGDIA,835,0.0006848230841569602,False,479
GAGE2D,622,0.0006847551558166742,False,480
PRNP,474,0.0006843287264928222,False,481
PLAU,285,0.00068286171881482,False,482
NQO1,260,0.0006801631534472108,False,483
CKS2,441,0.0006799997645430267,False,484
PSAP,141,0.0006793772918172181,False,485
ODC1,469,0.0006785301957279444,False,486
RPS2P46,318,0.0006784326978959143,False,487
GNAS,962,0.000678377051372081,False,488
RPL34,234,0.0006782975979149342,False,489
PLAT,518,0.0006755446665920317,False,490
S100A2,299,0.0006742642726749182,False,491
ITM2A,554,0.0006741848192177713,False,492
HSPA5,225,0.0006732263718731701,False,493
IGHV3-9,296,0.0006718417280353606,False,494
GSTM1,643,0.0006677499623037875,False,495
CA2,850,0.00066707021323964,False,496
DNTT,646,0.0006661249790340662,False,497
CTSL,348,0.0006649394053965807,False,498
RPL17,419,0.0006648005801253021,False,499
ATP5H,747,0.0006638999911956489,False,500
CD9,600,0.0006611181306652725,False,501
ITGB7,223,0.0006575886509381235,False,502
TXNIP,438,0.000656690972391516,False,503
RPS16,46,0.0006558807799592614,False,504
LDHB,132,0.0006544581265188754,False,505
CLIC1,429,0.0006540421745739877,False,506
TRAPPC1,968,0.0006529315724037588,False,507
EFEMP1,656,0.000651339185424149,False,508
CD79B,425,0.0006474860711023211,False,509
MSN,568,0.0006465844926424325,False,510
MT-CO2,0,0.0006464789039455354,False,511
CCL3,422,0.0006453192327171564,False,512
RPL4,145,0.0006446117768064141,False,513
RPS27A,65,0.0006445018807426095,False,514
GRP,603,0.0006444082828238606,False,515
LMNA,952,0.000644235813524574,False,516
RPL13,199,0.0006440659635700285,False,517
CALM3,695,0.000641035265289247,False,518
CXCL5,195,0.0006387491594068706,False,519
HCG4P5,561,0.0006373465294018388,False,520
EEF1A1P6,30,0.0006354745710268617,False,521
TRBV20-1,182,0.0006331725744530559,False,522
PPDPF,954,0.0006329704774543643,False,523
HLA-E,504,0.0006297972286120057,False,524
CDH1,923,0.0006293823826126754,False,525
RNVU1-7,371,0.0006285001873038709,False,526
CTSG,179,0.0006253873580135405,False,527
PPIA,286,0.0006248523714020848,False,528
GPI,608,0.0006242910167202353,False,529
